Subject,Grade,Standard,Prepared Graduate 1,Prepared Graduate 2,Prepared Graduate 3,Prepared Graduate 4,Prepared Graduate 5,Grade Level Expectation,GLE Code,Subheading,Statement
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,"Identify a clear purpose for research or inquiry (for example: <i>If the class is learning about trees, is my need to know more about pets related?</i>)."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,Ask a specific question and gather relevant information from various sources related to that question that inform clarity of purpose and conclusions about research.
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,"Ask primary questions of clarity, significance, relevance, and accuracy to improve quality of thinking."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,"Use a variety of resources to answer questions of interest through guided inquiry (for example: texts read aloud or viewed, direct observation)."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,"Gather relevant information and check various information sources for accuracy (for example: In a class discussion focused on butterflies, students ask questions related to a butterfly and the life cycle.)."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Students Can:,"With guidance and support from adults, recall information from experience or gather information from provided sources to answer a question. (CCSS:W.K.8)"
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Colorado Essential Skills:,"Recognize that problems can be identified and possible solutions can be created. (Entrepreneurial Skills, Critical Thinking/Problem Solving)"
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Colorado Essential Skills:,"Identify key attributes of a variety of information products (e.g., books, newspapers, online or print articles, social media). (Professional Skills, Information Literacy)"
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Colorado Essential Skills:,"Find information through the use of technologies. (Professional Skills, Use Information and Communications Technologies)"
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Essential Questions:,Why do researchers ask questions?
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Essential Questions:,How do researchers use resources to help find the answers to their questions?
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Essential Reasoning Skills:,"Researchers continually find resources to support, challenge, or change thinking."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Essential Reasoning Skills:,"Researchers understand that a variety of sources may be explored to find answers (for example: direct observation, trade books, texts read aloud or viewed) to answer questions or interest through guided inquiry."
"Reading, Writing, and Communicating",Kindergarten,4. Research Inquiry and Design,10. Gather information from a variety of sources; analyze and evaluate its quality and relevance; and use it ethically to answer complex questions.,,,,,1. Explore the purposes for research and inquiry by accessing resources in collaborative settings.,RW.K.4.1,Essential Reasoning Skills:,"Researchers know that for thinking to improve, it is necessary to ask critical questions."
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Students Can:,"Participate in collaborative conversations with diverse partners about <i>grade 1 topics and texts</i> with peers and adults in small and larger groups. (CCSS: SL.1.1)<ul class=""subEOItem""> <li>  Follow agreed-upon rules for discussions (for example: listening to others with care, speaking one at a time about the topics and texts under discussion). (CCSS: SL.1.1a) </li><li> Build on others' talk in conversations by responding to the comments of others through multiple exchanges. (CCSS: SL.1.1b)</li><li> Ask questions to clear up any confusion about the topics and texts under discussion. (CCSS: SL.1.1c)</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Students Can:,Ask and answer questions about key details in a text read aloud or information presented orally or through other media. (CCSS: SL.1.2)
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Students Can:,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood. (CCSS: SL.1.3)
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Colorado Essential Skills:,Articulate personal strengths and challenges using different forms of communication to express themselves. (Information and Communication Technologies)
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Colorado Essential Skills:,"Find information through the use of technologies. (Professional Skills, Use Information and Communication Technologies)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Colorado Essential Skills:,"Appropriately express a range of emotions to communicate personal ideas/needs. (Professional Skills, Self-Advocacy)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Essential Questions:,What does it mean to communicate courteously in conversations?
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Essential Questions:,How do we effectively communicate in conversations?
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Communicate using verbal and nonverbal language to express and receive information.,RW.1.1.1,Essential Reasoning Skills:,Thoughtful speakers and listeners are curious and seek to understand answers to their questions and others.
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Students Can:,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly. (CCSS: SL.1.4)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Students Can:,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings. (CCSS: SL.1.)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Students Can:,Produce complete sentences when appropriate to task and situation. (CCSS: SL.1.6) *
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Students Can:,Give and follow simple two-step directions.
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Colorado Essential Skills:,"Demonstrate curiosity, imagination, and eagerness to learn more. (Entrepreneurial Skills, Creativity/Innovation)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Colorado Essential Skills:,"Find information through the use of technologies. (Professional Skills, Use Information and Communication Technologies)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Colorado Essential Skills:,"Appropriately express a range of emotions to communicate personal ideas/needs. (Professional Skills, Self-Advocacy)"
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Essential Questions:,Why is it important to learn new words?
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Essential Questions:,How do presenters decide which words to use when they speak?
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Essential Questions:,How do we give and follow directions?
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Essential Reasoning Skills:,Effective communicators can express ideas and feelings clearly.
"Reading, Writing, and Communicating",First Grade,1. Oral Expression and Listening,2. Deliver effective oral presentations for varied audiences and varied purposes.,,,,,2. Use multiple strategies to develop and expand oral communication.,RW.1.1.2,Minimum Skills Competencies:,Evidence Outcomes marked with an asterisk (*) are the minimum competencies identified in the READ Act.
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Students Can:,"Use Key Ideas and Details to:<ul class=""subEOItem""> <li>  Ask and answer questions about key details in a text. (CCSS: RL.1.1) *</li><li> Retell stories, including key details, and demonstrate understanding of their central message or lesson. (CCSS: RL.1.2)</li><li> Describe characters, settings, and major events in a story, using key details. (CCSS: RL.1.3) *</li><li> Make predictions about what will happen in the text and explain whether they were confirmed or not and why, providing evidence from the text. *</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Students Can:,"Use Craft and Structure to:<ul class=""subEOItem""> <li>  Identify words and phrases in stories or poems that suggest feelings or appeal to the senses. (CCSS: RL.1.4)</li><li> Explain major differences between books that tell stories and books that give information. (adapted from CCSS: RL.1.5) *</li><li> Identify who is telling the story at various points in a text. (CCSS: RL.1.6) *</li><li> Follow and replicate patterns in predictable poems.</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Students Can:,"Use Integration of Knowledge and Ideas to:<ul class=""subEOItem""> <li>  Use illustrations and details in a story to describe its characters, setting, or events. (CCSS: RL.1.7)</li><li> Compare and contrast the adventures and experiences of characters in stories. (CCSS: RL.1.9) *</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Students Can:,"Use Range of Reading and Level of Text Complexity to:<ul class=""subEOItem""> <li>  With prompting and support, read prose and poetry of appropriate complexity for grade 1. (CCSS: RL.1.10)</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Colorado Essential Skills:,Read a minimum of 53 words per minute in the spring with fluency. *
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Colorado Essential Skills:,"Demonstrate curiosity, imagination, and eagerness to learn more. (Entrepreneurial Skills, Creativity/Innovation)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Colorado Essential Skills:,"Demonstrate a willingness to try new things. (Entrepreneurial Skills, Informed Risk Taking)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Colorado Essential Skills:,"Articulate personal strengths and challenges using different forms of communication to express themselves. (Civic/Interpersonal Skills, Communication (using information and communications technologies))"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Essential Questions:,How do we know if a text is fiction or nonfiction?
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Essential Questions:,How do details help us understand key parts of a story?
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Essential Reasoning Skills:,Critical readers ask questions and draw conclusions from pictures and texts.
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,,,,,1. Apply foundational reading strategies to fluently read and comprehend literary texts.,RW.1.2.1,Minimum Skills Competencies:,Evidence Outcomes marked with an asterisk (*) are the minimum competencies identified in the READ Act.
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Students Can:,"Use Key Ideas and Details to:<ul class=""subEOItem""> <li>  Ask and answer questions about key details in a text. (CCSS: RI.1.1) *</li><li> Identify the main topic and retell key details of a text. (CCSS: RI.1.2)</li><li> Describe the connection between two individuals, events, ideas, or pieces of information in a text. (CCSS: RI.1.3) *</li><li> Activate schema and background knowledge to construct meaning</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Students Can:,"Use Craft and Structure to:<ul class=""subEOItem""><li>Ask and answer questions to help determine or clarify the meaning of words and phrases in a text. (CCSS: RI.1.4)</li><li> Know and use various text features (for example: headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text. (CCSS: RI.1.5) *</li><li> Distinguish between information provided by pictures or other illustrations and information provided by the words in a text. (CCSS: RI.1.6)</li></ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Students Can:,"Use Integration of Knowledge and Ideas to:<ul class=""subEOItem""> <li>  Use the illustrations and details in a text to describe its key ideas. (CCSS: RI.1.7)</li><li>Identify the reasons an author gives to support points in a text. (CCSS: RI.1.8) *</li><li>Identify basic similarities in and differences between two texts on the same topic (for example: in illustrations, descriptions, or procedures). (CCSS: RI.1.9) <b>*</b></li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Students Can:,"Use Range of Reading and Level of Text Complexity to:<ul class=""subEOItem""> <li>  With prompting and support, read informational texts appropriately complex for grade 1. (CCSS: RI.1.10)</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Colorado Essential Skills:,Read a minimum of 53 words per minute in the spring with fluency. *
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Colorado Essential Skills:,"Demonstrate a willingness to try new things. (Entrepreneurial Skills, Informed Risk Taking)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Colorado Essential Skills:,"Articulate task requirements and identify deadlines. (Professional Skills, Task/Time Management)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Colorado Essential Skills:,"Identify key attributes of a variety of information products (e.g., books, newspapers, online or print articles, social media). (Professional Skills, Information Literacy)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Essential Questions:,Why do we use different punctuation marks?
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Essential Questions:,How does a reader's voice change when a sentence uses a specific punctuation mark?
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Essential Questions:,"In informational texts, why is the main idea important? How do the details support the main idea?"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Essential Reasoning Skills:,Critical readers connect their existing knowledge to new information.
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,,2. Apply foundational reading strategies to fluently read and comprehend informational texts.,RW.1.2.2,Minimum Skills Competencies:,Evidence Outcomes marked with an asterisk (*) are the minimum competencies identified in the READ Act.
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Demonstrate understanding of the organization and basic features of print. (CCSS: RF.1.1)<ul class=""subEOItem""> <li>  Recognize the distinguishing features of a sentence (for example: first word, capitalization, ending punctuation). (CCSS: RF.1.1a) *</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes). (CCSS: RF.1.2)<ul class=""subEOItem""> <li>  Distinguish long from short vowel sounds in spoken single-syllable words. (CCSS: RF.1.2a) *</li><li> Orally produce single-syllable words by blending sounds (phonemes), including consonant blends. (adapted from CCSS: RF.1.2b) *</li><li> Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words. (CCSS: RF.1.2c)</li><li> Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes). (CCSS: RF.1.2d) *</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Know and apply grade-level phonics and word analysis skills in decoding words. (CCSS: RF.1.3)<ul class=""subEOItem""> <li>  Know the spelling-sound correspondences for common consonant digraphs (two letters that represent one sound). (CCSS: RF.1.3a) *<li> Decode regularly spelled one-syllable words. (CCSS: RF.1.3b)<li> Know final -e and common vowel team conventions for representing long vowel sounds. (CCSS: RF.1.3c) *<li> Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word. (CCSS: RF.1.3d) *<li> Decode two-syllable words following basic patterns by breaking the words into syllables. (CCSS: RF.1.3e) *<li> Read words with inflectional endings. (CCSS: RF.1.3f) *<li> Read grade-appropriate irregularly spelled words. (adapted from CCSS: RF.1.3g) *<li> Use onsets and rimes to create new words (for example: <i>ip</i> to make <i>dip</i>, <i>lip</i>, <i>slip</i>, <i>ship</i>) *<li> Accurately decode unknown words that follow a predictable letter/sound relationship *"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Read with sufficient accuracy and fluency to support comprehension: (CCSS:  RF.1.4)<ul class=""subEOItem""> <li>  Read grade-level text with purpose and understanding. (CCSS: RF.1.4a)</li><li>Read grade-level text orally with accuracy, appropriate rate, and expression. (CCSS: RF.1.4b)</li><li>Use context to confirm or self-correct word recognition and understanding, rereading as necessary. (CCSS: RF.1.4c)</li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies. (CCSS: L.1.4)<ul class=""subEOItem""> <li>  Use sentence-level context as a clue to the meaning of a word or phrase. (CCSS: L.1.4a) *</li><li>Use frequently occurring affixes as a clue to the meaning of a word. (CCSS: L.1.4b)</li><li>Identify frequently occurring root words (for example: <i>look</i>) and their inflectional forms (for example: <i>looks</i>, <i>looked</i>, <i>looking</i>).</i> (CCSS: L.1.4c)<li> Identify and understand compound words. * </li>  </ul>"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings. (CCSS: L.1.5)<ul class=""subEOItem""> <li>  Sort words into categories (for example: colors, clothing) to gain a sense of the concepts the categories represent. (CCSS: L.1.5a)</li><li> Define words by category and by one or more key attributes (for example: a duck is a bird that swims; a tiger is a large cat with stripes). (CCSS: L.1.5b) </li><li> Identify real-life connections between words and their use (for example: note places at home that are cozy). (CCSS: L.1.5c)</li><li> Distinguish shades of meaning among verbs differing in manner (for example: <i>look</i>, <i>peek</i>, <i>glance</i>, <i>stare</i>, <i>glare</i>, <i>scowl</i>) and adjectives differing in intensity (for example: </i>large</i>, <i>gigantic</i>) by defining or choosing them or by acting out the meanings. (CCSS: L.1.5d)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Students Can:,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (for example: <i>because</i>). (CCSS: L.1.6)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Colorado Essential Skills:,Read a minimum of 53 words per minute in the spring with fluency. *
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Colorado Essential Skills:,"Recognize and describe cause-and-effect relationships and patterns in everyday experiences. (Entrepreneurial Skills, Inquiry/Analysis)"
"Reading, Writing, and Communicating",First Grade,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,"3. Refine foundational reading skills through understanding word structure, word relationships, and word families.",RW.1.2.3,Colorado Essential Skills:,"Demonstrate a willingness to try new things. (Entrepreneurial Skills, Informed Risk Taking)"
